from	to	value	patient
baseline_DN	12months_DN	28.7990605427975	CLAD1
baseline_M	12months_DN	96.1910229645094	CLAD1
baseline_N	12months_DN	96.1910229645094	CLAD1
baseline_P	12months_DN	68.758350730689	CLAD1
baseline_DN	12months_M	28.7990605427975	CLAD1
baseline_M	12months_M	175.052713987474	CLAD1
baseline_N	12months_M	210.011482254697	CLAD1
baseline_P	12months_M	68.2635699373695	CLAD1
baseline_DN	12months_N	28.7990605427975	CLAD1
baseline_M	12months_N	168.83611691023	CLAD1
baseline_N	12months_N	242.218684759917	CLAD1
baseline_P	12months_N	63.8538622129436	CLAD1
baseline_DN	12months_P	28.7990605427975	CLAD1
baseline_M	12months_P	89.2807933194155	CLAD1
baseline_N	12months_P	88.3178496868476	CLAD1
baseline_P	12months_P	63.8549060542798	CLAD1
baseline_DN	6months_DN	116.530271398747	CLAD1
baseline_M	6months_DN	41.1377870563674	CLAD1
baseline_N	6months_DN	24.5819415448852	CLAD1
baseline_P	6months_DN	51.3997912317328	CLAD1
baseline_DN	6months_M	34.6398747390397	CLAD1
baseline_M	6months_M	141.344989561587	CLAD1
baseline_N	6months_M	132.123173277662	CLAD1
baseline_P	6months_M	79.856993736952	CLAD1
baseline_DN	6months_N	28.9399791231733	CLAD1
baseline_M	6months_N	168.915448851775	CLAD1
baseline_N	6months_N	242.609081419624	CLAD1
baseline_P	6months_N	63.8502087682672	CLAD1
baseline_DN	6months_P	113.033402922756	CLAD1
baseline_M	6months_P	70.2531315240084	CLAD1
baseline_N	6months_P	56.1456158663883	CLAD1
baseline_P	6months_P	83.1623173277662	CLAD1
6months_DN	12months_DN	24.5866388308977	CLAD1
6months_M	12months_DN	96.1910229645094	CLAD1
6months_N	12months_DN	96.1998956158664	CLAD1
6months_P	12months_DN	56.1570981210856	CLAD1
6months_DN	12months_M	24.5819415448852	CLAD1
6months_M	12months_M	136.848121085595	CLAD1
6months_N	12months_M	209.940501043841	CLAD1
6months_P	12months_M	57.3053235908142	CLAD1
6months_DN	12months_N	65.3549060542797	CLAD1
6months_M	12months_N	164.160229645094	CLAD1
6months_N	12months_N	320.897181628393	CLAD1
6months_P	12months_N	88.2510438413361	CLAD1
6months_DN	12months_P	28.8757828810021	CLAD1
6months_M	12months_P	100.880480167015	CLAD1
6months_N	12months_P	88.5349686847599	CLAD1
6months_P	12months_P	60.4175365344468	CLAD1
