from	to	value	patient
baseline	6months	7985	CLAD1
baseline	12months	7940	CLAD1
6months	12months	20212	CLAD1
12months	12months	53573	CLAD1
6months	6months	4015	CLAD1
baseline	baseline	5896	CLAD1
baseline	6months	5035	CLAD2
baseline	12months	5835	CLAD2
6months	12months	27469	CLAD2
12months	12months	182621	CLAD2
6months	6months	8491	CLAD2
baseline	baseline	2384	CLAD2
baseline	6months	6218	CLAD3
baseline	12months	5503	CLAD3
6months	12months	7105	CLAD3
12months	12months	8655	CLAD3
6months	6months	13501	CLAD3
baseline	baseline	8970	CLAD3
baseline	6months	6196	CLAD5
baseline	12months	6129	CLAD5
6months	12months	6350	CLAD5
12months	12months	4638	CLAD5
6months	6months	8769	CLAD5
baseline	baseline	5124	CLAD5
baseline	6months	3038	CLAD6
baseline	12months	2903	CLAD6
6months	12months	19520	CLAD6
12months	12months	46932	CLAD6
6months	6months	10492	CLAD6
baseline	baseline	4005	CLAD6
baseline	6months	3117	CLAD7
baseline	12months	6091	CLAD7
6months	12months	3175	CLAD7
12months	12months	8974	CLAD7
6months	6months	6035	CLAD7
baseline	baseline	6339	CLAD7
baseline	6months	2581	CLAD8
baseline	12months	9713	CLAD8
6months	12months	2671	CLAD8
12months	12months	8520	CLAD8
6months	6months	5767	CLAD8
baseline	baseline	15570	CLAD8
