from	to	value	patient
baseline	6months	85.3880532001394	CLAD1
baseline	12months	48.9010338018353	CLAD1
6months	12months	74.1003020095249	CLAD1
12months	12months	83.024364037635	CLAD1
6months	6months	48.3700778255314	CLAD1
baseline	baseline	53.8216401440353	CLAD1
baseline	6months	139.904896039029	CLAD2
baseline	12months	131.843913346498	CLAD2
6months	12months	83.3812289464514	CLAD2
12months	12months	24.1285863631084	CLAD2
6months	6months	18.2460216052968	CLAD2
baseline	baseline	21.8861656406087	CLAD2
baseline	6months	123.762719247299	CLAD3
baseline	12months	115.272476478104	CLAD3
6months	12months	106.145429201998	CLAD3
12months	12months	55.6151411313741	CLAD3
6months	6months	54.8260541293995	CLAD3
baseline	baseline	42.8082529910559	CLAD3
baseline	6months	78.4129399465675	CLAD5
baseline	12months	65.6729004530143	CLAD5
6months	12months	65.6216459519108	CLAD5
12months	12months	76.5623765826461	CLAD5
6months	6months	69.5941747008944	CLAD5
baseline	baseline	66.9828667673365	CLAD5
baseline	6months	89.2277848762923	CLAD6
baseline	12months	18.3778313392961	CLAD6
6months	12months	53.7921651759786	CLAD6
12months	12months	73.2993379021954	CLAD6
6months	6months	51.5146648855849	CLAD6
baseline	baseline	44.7128295969334	CLAD6
baseline	6months	84.277151817865	CLAD7
baseline	12months	78.0810198629342	CLAD7
6months	12months	67.0831106981066	CLAD7
12months	12months	56.6925891508886	CLAD7
6months	6months	65.3980717853409	CLAD7
baseline	baseline	54.7556045998374	CLAD7
baseline	6months	56.4707573469625	CLAD8
baseline	12months	80.2330410036009	CLAD8
6months	12months	48.0020037170403	CLAD8
12months	12months	66.8216401440353	CLAD8
6months	6months	60.6034382622836	CLAD8
baseline	baseline	63.3011673829713	CLAD8
