from	to	value	patient
baseline_M	12months_M	175.052713987474	CLAD1
baseline_M	6months_M	141.344989561587	CLAD1
6months_M	12months_M	136.848121085595	CLAD1
baseline_M	12months_M	224.966597077244	CLAD2
baseline_M	6months_M	233.977557411274	CLAD2
6months_M	12months_M	106.039144050104	CLAD2
baseline_M	12months_M	153.351252609603	CLAD3
baseline_M	6months_M	179.264091858038	CLAD3
6months_M	12months_M	148.01617954071	CLAD3
baseline_M	12months_M	71.973382045929	CLAD5
baseline_M	6months_M	89.3731732776618	CLAD5
6months_M	12months_M	85.4331941544885	CLAD5
baseline_M	12months_M	34.875260960334	CLAD6
baseline_M	6months_M	47.7155532359082	CLAD6
6months_M	12months_M	35.7656576200418	CLAD6
baseline_M	12months_M	82.1644050104384	CLAD7
baseline_M	6months_M	150.972860125261	CLAD7
6months_M	12months_M	103.510960334029	CLAD7
baseline_M	12months_M	182.605427974948	CLAD8
baseline_M	6months_M	106.334551148225	CLAD8
6months_M	12months_M	100.624739039666	CLAD8
