from	to	value	patient
baseline_DN	12months_DN	28.7990605427975	CLAD1
baseline_M	12months_DN	96.1910229645094	CLAD1
baseline_N	12months_DN	96.1910229645094	CLAD1
baseline_P	12months_DN	68.758350730689	CLAD1
baseline_DN	12months_M	28.7990605427975	CLAD1
baseline_M	12months_M	175.052713987474	CLAD1
baseline_N	12months_M	210.011482254697	CLAD1
baseline_P	12months_M	68.2635699373695	CLAD1
baseline_DN	12months_N	28.7990605427975	CLAD1
baseline_M	12months_N	168.83611691023	CLAD1
baseline_N	12months_N	242.218684759917	CLAD1
baseline_P	12months_N	63.8538622129436	CLAD1
baseline_DN	12months_P	28.7990605427975	CLAD1
baseline_M	12months_P	89.2807933194155	CLAD1
baseline_N	12months_P	88.3178496868476	CLAD1
baseline_P	12months_P	63.8549060542798	CLAD1
baseline_DN	6months_DN	116.530271398747	CLAD1
baseline_M	6months_DN	41.1377870563674	CLAD1
baseline_N	6months_DN	24.5819415448852	CLAD1
baseline_P	6months_DN	51.3997912317328	CLAD1
baseline_DN	6months_M	34.6398747390397	CLAD1
baseline_M	6months_M	141.344989561587	CLAD1
baseline_N	6months_M	132.123173277662	CLAD1
baseline_P	6months_M	79.856993736952	CLAD1
baseline_DN	6months_N	28.9399791231733	CLAD1
baseline_M	6months_N	168.915448851775	CLAD1
baseline_N	6months_N	242.609081419624	CLAD1
baseline_P	6months_N	63.8502087682672	CLAD1
baseline_DN	6months_P	113.033402922756	CLAD1
baseline_M	6months_P	70.2531315240084	CLAD1
baseline_N	6months_P	56.1456158663883	CLAD1
baseline_P	6months_P	83.1623173277662	CLAD1
6months_DN	12months_DN	24.5866388308977	CLAD1
6months_M	12months_DN	96.1910229645094	CLAD1
6months_N	12months_DN	96.1998956158664	CLAD1
6months_P	12months_DN	56.1570981210856	CLAD1
6months_DN	12months_M	24.5819415448852	CLAD1
6months_M	12months_M	136.848121085595	CLAD1
6months_N	12months_M	209.940501043841	CLAD1
6months_P	12months_M	57.3053235908142	CLAD1
6months_DN	12months_N	65.3549060542797	CLAD1
6months_M	12months_N	164.160229645094	CLAD1
6months_N	12months_N	320.897181628393	CLAD1
6months_P	12months_N	88.2510438413361	CLAD1
6months_DN	12months_P	28.8757828810021	CLAD1
6months_M	12months_P	100.880480167015	CLAD1
6months_N	12months_P	88.5349686847599	CLAD1
6months_P	12months_P	60.4175365344468	CLAD1
baseline_DN	12months_DN	113.044363256785	CLAD2
baseline_M	12months_DN	192.203027139875	CLAD2
baseline_N	12months_DN	30.6779749478079	CLAD2
baseline_P	12months_DN	171.421189979123	CLAD2
baseline_DN	12months_M	87.2259916492693	CLAD2
baseline_M	12months_M	224.966597077244	CLAD2
baseline_N	12months_M	130.668058455115	CLAD2
baseline_P	12months_M	266.776617954071	CLAD2
baseline_DN	12months_N	123.209290187891	CLAD2
baseline_M	12months_N	208.12891440501	CLAD2
baseline_N	12months_N	166.844989561587	CLAD2
baseline_P	12months_N	171.387787056367	CLAD2
baseline_DN	12months_P	95.6623173277661	CLAD2
baseline_M	12months_P	155.608559498956	CLAD2
baseline_N	12months_P	70.4660751565762	CLAD2
baseline_P	12months_P	153.055323590814	CLAD2
baseline_DN	6months_DN	160.628392484342	CLAD2
baseline_M	6months_DN	164.224947807933	CLAD2
baseline_N	6months_DN	75.4326722338204	CLAD2
baseline_P	6months_DN	157.713465553236	CLAD2
baseline_DN	6months_M	158.215553235908	CLAD2
baseline_M	6months_M	233.977557411274	CLAD2
baseline_N	6months_M	88.6988517745302	CLAD2
baseline_P	6months_M	210.689979123173	CLAD2
baseline_DN	6months_N	156.969728601253	CLAD2
baseline_M	6months_N	242.742171189979	CLAD2
baseline_N	6months_N	212.16388308977	CLAD2
baseline_P	6months_N	222.063674321503	CLAD2
baseline_DN	6months_P	180.20981210856	CLAD2
baseline_M	6months_P	217.351774530271	CLAD2
baseline_N	6months_P	151.048538622129	CLAD2
baseline_P	6months_P	222.262526096033	CLAD2
6months_DN	12months_DN	67.1263048016702	CLAD2
6months_M	12months_DN	86.0177453027141	CLAD2
6months_N	12months_DN	99.4107515657621	CLAD2
6months_P	12months_DN	84.2750521920669	CLAD2
6months_DN	12months_M	78.5354906054279	CLAD2
6months_M	12months_M	106.039144050104	CLAD2
6months_N	12months_M	152.759916492693	CLAD2
6months_P	12months_M	107.646659707724	CLAD2
6months_DN	12months_N	125.732776617954	CLAD2
6months_M	12months_N	145.496346555324	CLAD2
6months_N	12months_N	285.159707724426	CLAD2
6months_P	12months_N	131.155010438413	CLAD2
6months_DN	12months_P	57.0046972860125	CLAD2
6months_M	12months_P	70.6931106471816	CLAD2
6months_N	12months_P	69.4300626304801	CLAD2
6months_P	12months_P	70.4660751565762	CLAD2
baseline_DN	12months_DN	313.804279749478	CLAD3
baseline_M	12months_DN	323.500521920668	CLAD3
baseline_N	12months_DN	226.041753653445	CLAD3
baseline_P	12months_DN	381.790709812109	CLAD3
baseline_DN	12months_M	164.032881002088	CLAD3
baseline_M	12months_M	153.351252609603	CLAD3
baseline_N	12months_M	103.506784968685	CLAD3
baseline_P	12months_M	166.806889352818	CLAD3
baseline_DN	12months_N	116.426931106472	CLAD3
baseline_M	12months_N	198.204592901879	CLAD3
baseline_N	12months_N	223.89248434238	CLAD3
baseline_P	12months_N	156.397181628393	CLAD3
baseline_DN	12months_P	311.917536534447	CLAD3
baseline_M	12months_P	278.757306889353	CLAD3
baseline_N	12months_P	182.971816283925	CLAD3
baseline_P	12months_P	376.444154488518	CLAD3
baseline_DN	6months_DN	204.989561586639	CLAD3
baseline_M	6months_DN	143.122129436326	CLAD3
baseline_N	6months_DN	70.3444676409186	CLAD3
baseline_P	6months_DN	184.155010438413	CLAD3
baseline_DN	6months_M	202.827244258873	CLAD3
baseline_M	6months_M	179.264091858038	CLAD3
baseline_N	6months_M	76.5553235908142	CLAD3
baseline_P	6months_M	193.596033402923	CLAD3
baseline_DN	6months_N	116.75	CLAD3
baseline_M	6months_N	198.300104384134	CLAD3
baseline_N	6months_N	224.903444676409	CLAD3
baseline_P	6months_N	156.635177453027	CLAD3
baseline_DN	6months_P	345.650835073069	CLAD3
baseline_M	6months_P	295.075678496868	CLAD3
baseline_N	6months_P	184.47860125261	CLAD3
baseline_P	6months_P	401.794363256785	CLAD3
6months_DN	12months_DN	234.272442588727	CLAD3
6months_M	12months_DN	191.88987473904	CLAD3
6months_N	12months_DN	201.519832985386	CLAD3
6months_P	12months_DN	357.362212943633	CLAD3
6months_DN	12months_M	115.320459290188	CLAD3
6months_M	12months_M	148.01617954071	CLAD3
6months_N	12months_M	93.6946764091858	CLAD3
6months_P	12months_M	165.774530271399	CLAD3
6months_DN	12months_N	59.6711899791232	CLAD3
6months_M	12months_N	76.5777661795407	CLAD3
6months_N	12months_N	243.024008350731	CLAD3
6months_P	12months_N	167.312108559499	CLAD3
6months_DN	12months_P	219.44624217119	CLAD3
6months_M	12months_P	193.14248434238	CLAD3
6months_N	12months_P	158.600730688935	CLAD3
6months_P	12months_P	342.788100208768	CLAD3
baseline_DN	12months_DN	101.022442588727	CLAD5
baseline_M	12months_DN	123.303235908142	CLAD5
baseline_N	12months_DN	160.989039665971	CLAD5
baseline_P	12months_DN	86.2713987473904	CLAD5
baseline_DN	12months_M	63.5527139874739	CLAD5
baseline_M	12months_M	71.973382045929	CLAD5
baseline_N	12months_M	73.5146137787057	CLAD5
baseline_P	12months_M	71.9566805845512	CLAD5
baseline_DN	12months_N	86.7781837160751	CLAD5
baseline_M	12months_N	120.401356993737	CLAD5
baseline_N	12months_N	259.190501043841	CLAD5
baseline_P	12months_N	86.1946764091858	CLAD5
baseline_DN	12months_P	72.6148225469729	CLAD5
baseline_M	12months_P	45.9540709812109	CLAD5
baseline_N	12months_P	85.7239039665971	CLAD5
baseline_P	12months_P	45.553235908142	CLAD5
